t,y,c,k,k_next,z_index
0,1.0,0.6006722689075628,1.0,1.3193277310924372,3
1,1.0957623850269174,0.696098519480699,1.3193277310924372,1.6134453781512605,3
2,1.1710054280973436,0.7688205541477637,1.6134453781512605,1.8865546218487397,3
3,1.1777255563718543,0.8167171530105102,1.8865546218487397,2.096638655462185,2
4,1.1647941728438802,0.8289958535161492,2.096638655462185,2.264705882352941,1
5,1.2509129807513584,0.9016692832723665,2.264705882352941,2.4327731092436977,2
6,1.3409529196413321,0.9782638440110802,2.4327731092436977,2.600840336134454,3
7,1.3708423674987786,1.0157163170786108,2.600840336134454,2.7478991596638656,3
8,1.3959512795136289,1.071077329933797,2.7478991596638656,2.8529411764705883,3
9,1.4133399324946705,1.1010710249316453,2.8529411764705883,2.9369747899159666,3
10,1.4939424562456745,1.1959592629683637,2.9369747899159666,3.0,4
11,1.5044467189956787,1.2644467189956785,3.0,3.0,4
12,1.4369776521848516,1.1969776521848523,3.0,3.0,3
13,1.4369776521848516,1.1969776521848523,3.0,3.0,3
14,1.3725343322608021,1.1325343322608026,3.0,3.0,2
15,1.3725343322608021,1.1325343322608026,3.0,3.0,2
16,1.3725343322608021,1.1325343322608026,3.0,3.0,2
17,1.4369776521848516,1.1969776521848523,3.0,3.0,3
18,1.4369776521848516,1.1969776521848523,3.0,3.0,3
19,1.4369776521848516,1.1969776521848523,3.0,3.0,3
20,1.4369776521848516,1.1969776521848523,3.0,3.0,3
21,1.3725343322608021,1.1325343322608026,3.0,3.0,2
22,1.3725343322608021,1.1325343322608026,3.0,3.0,2
23,1.3725343322608021,1.1325343322608026,3.0,3.0,2
24,1.3725343322608021,1.1325343322608026,3.0,3.0,2
25,1.3725343322608021,1.1325343322608026,3.0,3.0,2
26,1.3725343322608021,1.1325343322608026,3.0,3.0,2
27,1.4369776521848516,1.1969776521848523,3.0,3.0,3
28,1.5044467189956787,1.2644467189956785,3.0,3.0,4
29,1.5044467189956787,1.2644467189956785,3.0,3.0,4
30,1.5044467189956787,1.2644467189956785,3.0,3.0,4
31,1.5044467189956787,1.2644467189956785,3.0,3.0,4
32,1.5044467189956787,1.2644467189956785,3.0,3.0,4
33,1.4369776521848516,1.1969776521848523,3.0,3.0,3
34,1.4369776521848516,1.1969776521848523,3.0,3.0,3
35,1.4369776521848516,1.1969776521848523,3.0,3.0,3
36,1.4369776521848516,1.1969776521848523,3.0,3.0,3
37,1.4369776521848516,1.1969776521848523,3.0,3.0,3
38,1.5044467189956787,1.2644467189956785,3.0,3.0,4
39,1.5750835977550093,1.335083597755009,3.0,3.0,5
40,1.5750835977550093,1.335083597755009,3.0,3.0,5
41,1.5750835977550093,1.335083597755009,3.0,3.0,5
42,1.5750835977550093,1.335083597755009,3.0,3.0,5
43,1.5750835977550093,1.335083597755009,3.0,3.0,5
44,1.5750835977550093,1.335083597755009,3.0,3.0,5
45,1.5750835977550093,1.335083597755009,3.0,3.0,5
46,1.5750835977550093,1.335083597755009,3.0,3.0,5
47,1.5044467189956787,1.2644467189956785,3.0,3.0,4
48,1.5044467189956787,1.2644467189956785,3.0,3.0,4
49,1.4369776521848516,1.1969776521848523,3.0,3.0,3
50,1.4369776521848516,1.1969776521848523,3.0,3.0,3
51,1.4369776521848516,1.1969776521848523,3.0,3.0,3
52,1.4369776521848516,1.1969776521848523,3.0,3.0,3
53,1.5044467189956787,1.2644467189956785,3.0,3.0,4
54,1.4369776521848516,1.1969776521848523,3.0,3.0,3
55,1.4369776521848516,1.1969776521848523,3.0,3.0,3
56,1.4369776521848516,1.1969776521848523,3.0,3.0,3
57,1.4369776521848516,1.1969776521848523,3.0,3.0,3
58,1.4369776521848516,1.1969776521848523,3.0,3.0,3
59,1.4369776521848516,1.1969776521848523,3.0,3.0,3
60,1.3725343322608021,1.1325343322608026,3.0,3.0,2
61,1.3725343322608021,1.1325343322608026,3.0,3.0,2
62,1.3725343322608021,1.1325343322608026,3.0,3.0,2
63,1.3725343322608021,1.1325343322608026,3.0,3.0,2
64,1.3725343322608021,1.1325343322608026,3.0,3.0,2
65,1.3725343322608021,1.1325343322608026,3.0,3.0,2
66,1.3725343322608021,1.1325343322608026,3.0,3.0,2
67,1.3725343322608021,1.1325343322608026,3.0,3.0,2
68,1.4369776521848516,1.1969776521848523,3.0,3.0,3
69,1.4369776521848516,1.1969776521848523,3.0,3.0,3
70,1.3725343322608021,1.1325343322608026,3.0,3.0,2
71,1.3725343322608021,1.1325343322608026,3.0,3.0,2
72,1.4369776521848516,1.1969776521848523,3.0,3.0,3
73,1.4369776521848516,1.1969776521848523,3.0,3.0,3
74,1.5044467189956787,1.2644467189956785,3.0,3.0,4
75,1.5044467189956787,1.2644467189956785,3.0,3.0,4
76,1.5044467189956787,1.2644467189956785,3.0,3.0,4
77,1.5044467189956787,1.2644467189956785,3.0,3.0,4
78,1.5750835977550093,1.335083597755009,3.0,3.0,5
79,1.6490370237724519,1.409037023772452,3.0,3.0,6
80,1.6490370237724519,1.409037023772452,3.0,3.0,6
81,1.6490370237724519,1.409037023772452,3.0,3.0,6
82,1.6490370237724519,1.409037023772452,3.0,3.0,6
83,1.6490370237724519,1.409037023772452,3.0,3.0,6
84,1.6490370237724519,1.409037023772452,3.0,3.0,6
85,1.6490370237724519,1.409037023772452,3.0,3.0,6
86,1.6490370237724519,1.409037023772452,3.0,3.0,6
87,1.6490370237724519,1.409037023772452,3.0,3.0,6
88,1.6490370237724519,1.409037023772452,3.0,3.0,6
